panel,donor_id,title,first_name,last_name,suffix,company,department,address_line_1,address_line_2,city,state,zip5,zip4,email,phone,fax,donation_amount,mail_code,delivery_point,barcode_identifier,service_type_id,mailer_id,serial_number,congressional_district,congressional_name,representative,senator
2,357423,Ms.,Rebecca,Ellis,Sr.,Johnson-Marquez,Finance,003 Gordon Glen,Apt 2B,Ashleychester,MT,96085,1023,Rebecca.Ellis18357@example.com,+1-553-954-7862x715,(722)225-0873x054,34.78,D4,07,80,622,920687,157660255,2,UT-11,Jacob Thompson,Jessica Thompson
2,4442476,Mr.,Jessica,Mathis,Sr.,"Lee, Shelton and Miller",Finance,235 Anthony Hill Suite 033,,Nicoleton,MT,62299,8991,Jessica.Mathis15432@example.com,(451)305-5082,(940)244-0747x39675,454.73,D4,81,23,858,415832,722437879,12,WA-3,Shelley Maldonado,Bradley Shelton
2,66932,Mrs.,Lisa,Riddle,,"Gallegos, Williams and Wilson",IT,368 Belinda Fork Apt. 918,Suite 300,East Lindseyshire,NV,66415,0081,Lisa.Riddle13217@example.com,(951)203-9403x48542,+1-827-319-2671x94813,410.14,D4,83,41,660,356432,183141553,8,WV-11,Ms. Tara Wilcox,William Travis
2,7767743,Mrs.,Cathy,Fisher,III,Turner-Davis,HR,5687 Peck Mountain,,Reedburgh,AR,29180,8161,Cathy.Fisher17508@example.com,(399)935-4963x0371,+1-707-926-1737x388,185.93,A1,99,59,441,326948,289274873,6,CA-8,Mr. Jason Roberson,Jack Wright
2,931786,Mr.,Gary,Williams,Jr.,"Perez, Byrd and Brown",HR,4605 Cody Lock,Suite 300,North Megan,RI,35245,9136,Gary.Williams12595@example.com,+1-424-918-6528,001-469-930-1075,261.36,A1,74,30,847,738134,000322160,10,OK-9,Monica Williams,Daryl Taylor
2,112636,Ms.,Debra,Ruiz,Sr.,"Lewis, Berry and Mcpherson",Research,5274 Jacob Crescent Apt. 638,Floor 5,Port Territon,GA,77245,4872,Debra.Ruiz12706@example.com,564-418-4719,248-879-0186x057,197.82,A1,48,46,279,246115,467145684,2,GA-7,Terry Wise,Teresa Evans
2,759316,Dr.,Michael,Kirby,Jr.,Zuniga-James,Finance,230 David Lake,,Jamesberg,VA,67953,8809,Michael.Kirby18631@example.com,4668900555,2768994832,50.52,C3,06,91,778,855453,035791176,8,WY-1,Theresa Mcdonald,Christopher Williams
2,893597,Mr.,Eduardo,Sanchez,Sr.,Hall-Powell,,21124 Buck Ranch,Floor 5,Thomasfurt,AL,35054,5604,Eduardo.Sanchez15004@example.com,+1-785-222-7258x06652,(618)388-2496,131.03,A1,77,83,558,234689,541552179,2,IN-1,Stephanie Baker,Beth Flores
2,53757891,Mrs.,Edward,Washington,,Edwards PLC,IT,5900 Anderson Harbors Apt. 862,Apt 2B,Hermanfurt,WI,04292,6744,Edward.Washington17639@example.com,001-831-655-1640x8088,(908)318-9007x0928,260.16,B2,91,84,632,770474,549448875,3,ND-10,Robert Thomas,Jessica Perez
2,34743633,Mrs.,Stephen,Shannon,III,"Wood, Walker and Medina",,449 Vega Square Apt. 998,Floor 5,Port Christopherstad,WV,68738,9695,Stephen.Shannon12280@example.com,+1-563-556-8858x54745,(671)449-7588,330.45,B2,90,64,808,647844,590151422,12,MI-4,Sherry Edwards MD,Ronald Doyle
2,43538232,Mrs.,Catherine,Barker,,Young-Smith,,0624 Fischer Port Apt. 831,Suite 300,East Jenny,FL,54957,5143,Catherine.Barker16965@example.com,(516)797-3022,574.345.2314,45.64,A1,75,42,554,013603,470692676,10,MD-9,Edward Hobbs,Megan Jackson
2,93847978,Mr.,Robert,Perry,,"Robinson, Lynch and Cole",IT,4916 Turner Vista Suite 909,Floor 5,Lake Rebeccaburgh,OR,01563,2580,Robert.Perry15580@example.com,(516)632-1020x00874,683.691.9650,311.1,D4,20,44,502,088203,004461073,6,DE-3,Melissa Bryan,Charles Perez
2,74331,Dr.,James,Davis,,"Marshall, Baker and Brown",IT,67538 Cooper Cove,,East Scottland,ID,99119,6549,James.Davis18379@example.com,(395)682-9018x8496,001-216-595-9571,178.66,C3,85,96,556,922550,371656610,8,NM-12,Joseph Simmons,Chris Ferguson
2,451525,Mrs.,Kathryn,George,,Benson-Mccoy,Research,8814 Tanya Turnpike Apt. 274,Floor 5,New Christopher,KY,42106,1735,Kathryn.George12927@example.com,323.666.9774x037,(981)434-8572x3439,227.79,A1,78,19,595,585665,578157140,11,NJ-6,Allison Wood,Barry Mendoza
2,155859,Ms.,Manuel,Sweeney,Jr.,"Martinez, Smith and Johnson",HR,121 Terrence Avenue,,North Lisachester,LA,02484,8778,Manuel.Sweeney14603@example.com,+1-804-300-1635,200-869-3861x239,211.38,A1,15,98,029,517731,562493877,6,ME-3,Christopher Jackson,Derek Barr
2,11122,Mrs.,Ronald,Stewart,Jr.,Mullen PLC,IT,911 Johnston Circle Apt. 027,Floor 5,North Melaniemouth,CT,49190,4491,Ronald.Stewart13654@example.com,3709633229,001-395-476-9746x5414,410.84,B2,57,79,711,817109,166826901,5,CO-7,Kelsey Jones,Robert Lee
2,1171826,Dr.,Andrew,Sandoval,Jr.,Pierce LLC,,4949 Jonathan Isle Suite 410,Suite 300,West Shane,DE,24525,1381,Andrew.Sandoval17427@example.com,(788)525-1252,001-837-251-7506,59.83,C3,44,49,662,408017,361676239,9,OK-8,Christopher Brown,Christine Walsh
2,1916271,Dr.,Tara,Montoya,,Curtis LLC,Finance,2811 Mcgee Vista Apt. 482,Floor 5,South Caleb,MA,09726,3090,Tara.Montoya15424@example.com,(386)727-0594x776,715.810.0779,294.36,D4,98,96,388,941603,106021878,11,UT-7,Mrs. Kelsey Freeman,Steven Hughes
2,94274,Ms.,Michael,Gordon,,"Cardenas, Stone and Cunningham",Finance,6318 Harold Light,,South Benjamin,MD,72742,1787,Michael.Gordon12343@example.com,(829)759-4321x35728,497.371.0846,410.81,B2,54,94,213,102565,961745307,5,GA-10,Malik Dunn,Candace Mejia
2,321992,Dr.,Joshua,Brown,III,"Martinez, Stephens and Harvey",,607 Aaron Extension Suite 002,,Mirandaton,OR,12997,0380,Joshua.Brown17514@example.com,001-723-954-0862x48806,879-648-1950x03666,212.84,A1,42,35,142,131086,815837726,8,RI-2,Charles Garcia,Kyle Ewing
2,6828783,Mrs.,Jocelyn,Galloway,,Rogers-Williams,Finance,7136 Mary Fall Apt. 359,Floor 5,Port Emilyville,SD,85807,4246,Jocelyn.Galloway18821@example.com,(384)406-7398x560,717-918-1754,14.41,B2,77,77,125,353698,852902285,10,MT-8,Eric Barry,Sheri Valentine
2,717873,Ms.,Jennifer,Green,Sr.,"Johnson, Miller and Aguilar",,6987 Young Mountains,Apt 2B,Nancyborough,NY,56380,4600,Jennifer.Green16628@example.com,+1-467-491-6254x36322,891.597.3605x2094,206.34,C3,45,23,605,207362,993634812,3,NE-10,Philip Jenkins,Rebecca Jacobs
2,51847,Mrs.,Richard,Parrish,Sr.,Jackson-Davis,HR,267 Ronald Drive Apt. 841,,Angelaberg,GA,37894,9618,Richard.Parrish15025@example.com,+1-471-947-6262x34023,(717)943-4478,308.39,D4,96,45,297,674974,271606821,9,MN-2,Paul Martinez,Eric Odonnell
2,53563,Mrs.,Wesley,Morgan,Jr.,Frye-Wright,Research,740 Ronald Heights Suite 520,,West Carol,WA,65086,2375,Wesley.Morgan12659@example.com,001-799-793-1906,759.557.4853,387.8,C3,29,53,873,491363,412764696,4,NH-3,Linda Hansen,James Ortega
2,3624659,Mrs.,Thomas,Tucker,Sr.,"Vargas, Chavez and Carrillo",IT,070 Stewart Trail,Suite 300,Brownfort,MI,21972,3718,Thomas.Tucker15033@example.com,4692487247,001-818-242-6291,14.14,C3,98,18,361,027860,285919785,1,KY-6,Micheal Torres,Madison Reyes
