PANEL,DONOR_ID,TITLE,FIRST_NAME,LAST_NAME,SUFFIX,GREETING_LINE,COMPANY,DEPARTMENT,ADDRESS1,ADDRESS2,CITY,STATE,ZIP5,ZIP4,EMAIL,PHONE,FAX,DONATION_AMT,MAIL_CODE,DELIVERY_POINT,BARCODE_ID,SERVICE_TYPE_ID,MAILER_ID,SERIAL_NUM,CONG_DIST,CONG_NAME,REPRESENTATIVE,SENATOR
2,581278,Dr.,Kyle,Campbell,Jr.,Dear Dr. Campbell,Park Inc,Research,65844 Drake Creek Suite 132,Floor 5,Cindyland,AZ,11975,8378,Kyle.Campbell8363@example.com,001-364-643-1664x8515,001-222-495-9018x6306,104.77,B2,41,44,486,018950,722842688,11,New Mexico-9,James Strong,Christina Walker
2,28277329,Dr.,Randy,Perez,Jr.,Dear Dr. Perez,Suarez-Hoffman,,43316 Simmons Stream,Suite 300,Michaelmouth,OK,73765,1040,Randy.Perez10765@example.com,(834)960-4140x697,949.573.1830x088,133.92,C3,79,63,134,872999,593829918,11,Minnesota-1,Kathy Hensley,Autumn Owens
2,5682633,Mrs.,Holly,Rodriguez,III,Dear Mrs. Rodriguez,Harvey Group,Research,3023 Laurie Locks,Floor 5,Adamborough,OH,70133,3668,Holly.Rodriguez9993@example.com,439.303.3384x717,765-980-9622x4889,245.79,D4,24,18,772,685606,145261733,8,Arkansas-9,Paul Luna,Sarah Oliver
2,39348,Mrs.,Nicole,Mcclure,Sr.,Dear Mrs. Mcclure,Russell-Smith,Finance,330 Jill Trace,Apt 2B,Beckberg,ND,85212,0823,Nicole.Mcclure17862@example.com,230-447-2899x9052,001-411-499-4496x7979,447.33,D4,28,91,151,591284,644016258,4,Missouri-2,Elizabeth Floyd,Edward Velazquez
2,75795,Dr.,Richard,Jones,Jr.,Dear Dr. Jones,Cook Inc,HR,099 Kristin Union Apt. 828,,Thompsonton,ME,95431,3723,Richard.Jones17740@example.com,+1-992-524-6965x42295,538-700-8672,52.19,D4,30,75,585,944393,138578053,12,North Dakota-6,Holly Kim,Christopher Vega
2,833872,Mrs.,Michele,Montgomery,,Dear Mrs. Montgomery,Mckay LLC,HR,503 Derek Circle Apt. 743,Apt 2B,Nolanborough,CT,60900,7558,Michele.Montgomery14303@example.com,+1-548-832-0519x57497,874.484.3537x42237,409.62,B2,48,78,616,518473,246107364,1,West Virginia-5,Ashley Jackson,Christopher Vargas
2,44837,Mrs.,Julie,Thompson,Jr.,Dear Mrs. Thompson,Foley and Sons,HR,36027 Lutz Views,Floor 5,New Kimberlybury,MT,25301,6866,Julie.Thompson9940@example.com,582-441-9406,(541)740-7323x2940,373.81,B2,23,55,108,285968,517436321,6,Utah-6,Scott Brown,Tammie West
2,26675,Mrs.,Olivia,Holloway,Jr.,Dear Mrs. Holloway,"Nelson, Alvarado and Robinson",,506 Crystal Pass,Floor 5,Lake Natalie,IN,44695,2252,Olivia.Holloway18143@example.com,001-800-407-4553x8711,8117810813,236.2,A1,45,14,191,870934,045384538,12,Missouri-7,Karen Johnson,Jackson Cross
2,2969146,Ms.,Brian,Davis,Jr.,Dear Ms. Davis,"Olson, Coffey and Anderson",Finance,7454 Jackson Falls Suite 421,Apt 2B,Michellefort,IA,15072,5519,Brian.Davis16455@example.com,+1-262-982-6133x28013,511-923-2675,277.8,B2,08,77,147,090072,976688522,8,Massachusetts-12,Christopher Wright,Ashley Murphy
2,57659791,Dr.,Becky,Thomas,Jr.,Dear Dr. Thomas,Le Inc,Research,5317 Bell Manors Suite 456,Suite 300,Lake Nancy,MS,34465,2667,Becky.Thomas14199@example.com,(755)587-2188,282-572-4697,397.92,B2,89,17,700,650061,593753670,8,Maine-7,Thomas Wilkerson,Jaime Mcknight
